Letter_ID,Letter_Type,AI_Drafted,AI_Draft_Word_Count,Edits_Required_Count,Reviewer_Time_Minutes,Letter_Approval_Status,Readability_Score,Tone_Alignment_Score,Error_Flag,Claim_Complexity_Index,Model_Confidence_Score,Reviewer_Satisfaction_Score,Revisions_Approved_on_First_Pass
LET-2025-00001,Approval,False,0.0,3,27.6,1,71.2,81.6,False,0.4,0.0,82.0,False
LET-2025-00002,Approval,True,293.0,2,16.0,1,62.1,80.5,False,0.3,0.6,79.5,False
LET-2025-00003,RFI,True,424.0,2,17.4,1,73.3,87.5,False,0.1,0.7,88.0,False
LET-2025-00004,RFI,False,0.0,6,46.7,1,74.9,78.9,False,0.7,0.0,73.6,False
LET-2025-00005,Approval,True,302.8,3,24.7,1,59.7,81.1,False,0.4,0.5,81.2,False
LET-2025-00006,Approval,True,304.2,0,15.4,1,81.7,84.9,False,0.2,0.8,86.7,True
LET-2025-00007,Approval,True,273.9,2,12.6,1,68.6,85.1,False,0.1,0.7,82.7,False
LET-2025-00008,Denial,True,392.4,4,36.9,0,73.2,81.8,True,0.5,0.7,71.6,False
LET-2025-00009,Approval,False,0.0,1,23.6,1,60.1,83.7,False,0.3,0.0,81.8,True
LET-2025-00010,Approval,True,223.7,2,16.4,1,77.8,82.8,False,0.3,0.6,84.2,False
LET-2025-00011,RFI,False,0.0,2,35.3,1,74.0,83.2,False,0.2,0.0,78.5,False
LET-2025-00012,Approval,False,0.0,2,20.8,1,73.0,83.2,False,0.1,0.0,84.4,False
LET-2025-00013,Denial,True,365.7,3,20.4,1,72.2,85.5,False,0.2,0.8,80.9,False
LET-2025-00014,Status Update,True,212.9,2,21.0,1,68.7,79.8,False,0.7,0.8,78.7,False
LET-2025-00015,RFI,True,336.1,1,27.0,1,72.9,82.1,False,0.3,0.8,80.3,True
LET-2025-00016,Status Update,True,156.3,3,19.3,1,67.0,84.7,False,0.3,0.7,84.5,False
LET-2025-00017,RFI,True,347.8,1,19.6,1,70.3,84.6,False,0.2,0.8,83.1,True
LET-2025-00018,RFI,False,0.0,1,43.8,1,63.4,78.8,False,0.8,0.0,76.7,True
LET-2025-00019,Denial,True,359.9,1,26.1,1,64.4,82.2,False,0.2,0.8,80.4,True
LET-2025-00020,Status Update,True,212.3,2,20.6,1,63.5,82.6,False,0.4,0.7,78.3,False
LET-2025-00021,Denial,False,0.0,5,51.7,1,65.2,76.4,False,0.8,0.0,69.5,False
LET-2025-00022,Denial,False,0.0,6,46.8,1,64.8,79.9,False,0.5,0.0,71.9,False
LET-2025-00023,Denial,False,0.0,3,41.6,1,70.4,82.2,False,0.5,0.0,79.1,False
LET-2025-00024,Denial,True,429.7,1,33.2,1,63.4,78.7,False,0.7,0.6,77.0,True
LET-2025-00025,Approval,True,330.5,1,21.1,1,69.3,81.5,False,0.3,0.6,81.7,True
LET-2025-00026,Denial,True,403.0,4,33.6,1,67.2,84.1,False,0.4,0.6,83.5,False
LET-2025-00027,Status Update,True,167.8,0,11.3,1,67.0,83.4,False,0.1,0.9,80.9,True
LET-2025-00028,Approval,True,254.1,1,16.7,1,63.4,82.4,False,0.3,0.5,81.5,True
LET-2025-00029,Approval,False,0.0,1,23.4,1,72.0,86.0,False,0.2,0.0,83.2,True
LET-2025-00030,RFI,False,0.0,3,37.8,1,68.6,85.6,False,0.2,0.0,75.6,False
LET-2025-00031,Approval,True,273.6,2,15.3,1,72.3,86.1,False,0.0,0.7,83.1,False
LET-2025-00032,RFI,True,474.6,2,37.5,1,59.4,79.0,False,0.7,0.7,76.5,False
LET-2025-00033,Status Update,False,0.0,0,21.6,1,67.8,81.7,False,0.4,0.0,81.6,True
LET-2025-00034,RFI,True,469.9,1,33.6,1,65.7,77.4,False,0.9,0.5,72.8,True
LET-2025-00035,Approval,True,231.5,1,15.4,1,66.9,84.4,False,0.1,0.8,84.4,True
LET-2025-00036,Approval,False,0.0,1,25.5,1,62.8,81.5,False,0.4,0.0,83.4,True
LET-2025-00037,Approval,True,320.2,3,21.4,1,67.5,78.2,False,0.8,0.6,72.9,False
LET-2025-00038,Approval,True,305.8,4,17.1,1,73.0,83.3,False,0.2,0.9,83.7,False
LET-2025-00039,Approval,True,345.7,2,19.5,1,70.7,81.7,False,0.4,0.7,83.3,False
LET-2025-00040,Approval,False,0.0,2,25.2,1,64.1,84.8,False,0.3,0.0,85.6,False
LET-2025-00041,RFI,True,361.2,6,27.6,1,72.9,84.4,False,0.2,0.7,84.9,False
LET-2025-00042,Approval,True,255.6,2,21.8,1,72.9,82.8,False,0.4,0.7,82.9,False
LET-2025-00043,Denial,False,0.0,2,40.1,1,71.6,81.5,False,0.5,0.0,76.7,False
LET-2025-00044,Denial,True,433.2,4,40.9,1,60.6,78.2,False,0.8,0.8,74.8,False
LET-2025-00045,Approval,True,302.7,2,23.2,1,64.8,81.0,False,0.5,0.8,77.9,False
LET-2025-00046,Denial,True,406.5,5,36.9,1,72.1,83.1,False,0.4,0.7,83.7,False
LET-2025-00047,Denial,True,403.5,3,39.8,1,63.9,80.5,False,0.6,0.6,75.3,False
LET-2025-00048,Approval,False,0.0,1,17.3,1,72.2,82.1,False,0.2,0.0,80.6,True
LET-2025-00049,Denial,True,468.9,4,27.5,1,73.2,80.2,False,0.5,0.6,77.3,False
LET-2025-00050,RFI,False,0.0,2,39.1,1,62.6,78.7,False,0.6,0.0,76.3,False
LET-2025-00051,Approval,True,319.3,0,19.6,1,71.9,77.8,False,0.6,0.7,78.9,True
LET-2025-00052,Approval,True,328.9,2,22.5,1,65.8,79.9,False,0.6,0.6,78.7,False
LET-2025-00053,Denial,True,474.1,1,25.3,1,66.2,82.9,False,0.3,0.7,79.9,True
LET-2025-00054,RFI,True,254.8,2,19.9,1,64.2,86.4,False,0.1,0.8,88.6,False
LET-2025-00055,RFI,True,368.0,3,29.9,1,71.4,83.3,False,0.2,0.8,85.5,False
LET-2025-00056,Denial,True,438.0,3,20.7,0,83.1,83.2,True,0.2,0.7,76.0,False
LET-2025-00057,Approval,True,294.5,1,14.0,1,71.6,81.9,False,0.2,0.7,84.5,True
LET-2025-00058,Approval,False,0.0,1,19.9,1,68.8,85.8,False,0.1,0.0,90.1,True
LET-2025-00059,Status Update,False,0.0,2,21.1,1,73.3,83.5,False,0.4,0.0,85.7,False
LET-2025-00060,Status Update,False,0.0,0,18.7,1,68.1,82.5,False,0.4,0.0,80.3,True
LET-2025-00061,Denial,False,0.0,4,42.6,1,68.5,84.3,False,0.3,0.0,83.3,False
LET-2025-00062,Approval,True,339.6,0,18.0,1,75.2,84.6,False,0.3,0.7,85.7,True
LET-2025-00063,Denial,True,402.0,0,27.3,1,76.2,82.5,False,0.4,0.6,79.7,True
LET-2025-00064,RFI,False,0.0,3,36.2,1,68.9,83.3,False,0.3,0.0,77.5,False
LET-2025-00065,RFI,True,368.7,3,31.9,1,75.9,83.7,False,0.4,0.7,79.9,False
LET-2025-00066,Approval,True,289.3,0,19.8,1,63.3,81.1,False,0.5,0.7,79.4,True
LET-2025-00067,Approval,True,354.9,1,18.8,1,71.7,79.1,False,0.6,0.7,75.3,True
LET-2025-00068,Status Update,True,264.2,1,15.7,1,69.5,79.1,False,0.6,0.7,78.4,True
LET-2025-00069,Denial,False,0.0,2,39.4,1,72.3,80.6,False,0.4,0.0,74.9,False
LET-2025-00070,Approval,False,0.0,3,36.6,1,62.7,76.9,False,0.9,0.0,77.0,False
LET-2025-00071,Denial,False,0.0,3,36.3,1,67.6,87.3,False,0.0,0.0,81.6,False
LET-2025-00072,Approval,True,301.5,2,16.6,1,73.5,87.0,False,0.0,0.8,90.9,False
LET-2025-00073,RFI,True,293.2,3,19.9,1,75.3,84.3,False,0.2,0.7,82.9,False
LET-2025-00074,Denial,False,0.0,3,43.9,1,63.7,81.6,False,0.5,0.0,79.3,False
LET-2025-00075,Denial,False,0.0,1,44.8,0,72.4,80.5,False,0.7,0.0,76.4,False
LET-2025-00076,RFI,True,396.1,0,21.2,0,70.6,85.2,False,0.1,0.8,83.4,False
LET-2025-00077,RFI,True,356.5,3,39.3,1,61.8,77.4,False,0.9,0.5,75.9,False
LET-2025-00078,Denial,True,521.6,5,30.3,1,75.7,81.6,False,0.3,0.7,80.3,False
LET-2025-00079,RFI,False,0.0,1,30.0,1,69.5,83.6,False,0.2,0.0,86.5,True
LET-2025-00080,Denial,True,493.7,1,27.5,1,58.8,82.2,False,0.4,0.7,80.9,True
LET-2025-00081,Denial,True,431.5,4,27.7,1,74.9,83.9,False,0.2,0.8,87.1,False
LET-2025-00082,Denial,True,448.9,2,22.1,1,66.7,82.0,True,0.3,0.7,75.3,False
LET-2025-00083,Approval,False,0.0,1,21.3,1,74.2,85.2,False,0.1,0.0,86.1,True
LET-2025-00084,Approval,True,267.1,4,27.1,0,69.2,80.6,False,0.5,0.6,82.0,False
LET-2025-00085,RFI,False,0.0,3,44.0,1,61.3,81.2,False,0.5,0.0,73.4,False
LET-2025-00086,RFI,True,386.5,3,28.8,1,67.9,81.1,False,0.6,0.8,80.4,False
LET-2025-00087,RFI,True,392.2,0,27.2,1,72.9,80.9,False,0.4,0.6,73.3,True
LET-2025-00088,RFI,True,399.8,1,21.7,1,64.1,85.1,False,0.1,0.9,86.0,True
LET-2025-00089,Denial,True,341.0,0,34.2,1,63.0,78.7,False,0.7,0.7,76.0,True
LET-2025-00090,Status Update,True,190.0,1,20.4,1,65.0,79.1,False,0.7,0.6,76.3,True
LET-2025-00091,Approval,True,287.9,1,18.2,1,68.0,82.6,False,0.4,0.6,84.6,True
LET-2025-00092,RFI,False,0.0,3,36.1,1,64.9,81.2,False,0.4,0.0,77.2,False
LET-2025-00093,RFI,False,0.0,4,34.9,1,74.4,81.9,False,0.3,0.0,86.3,False
LET-2025-00094,Approval,False,0.0,2,22.2,1,64.5,84.1,False,0.1,0.0,91.0,False
LET-2025-00095,Approval,True,246.4,1,16.9,1,72.3,81.5,False,0.5,0.6,84.5,True
LET-2025-00096,RFI,True,367.7,5,32.8,1,70.1,81.5,False,0.5,0.7,77.7,False
LET-2025-00097,Status Update,False,0.0,3,22.3,1,68.5,81.1,False,0.2,0.0,76.9,False
LET-2025-00098,Approval,True,266.6,0,18.9,1,68.9,84.0,False,0.2,0.8,81.4,True
LET-2025-00099,RFI,False,0.0,3,32.8,1,73.5,84.6,False,0.3,0.0,80.8,False
LET-2025-00100,Approval,True,244.2,1,18.5,1,59.5,82.8,False,0.4,0.6,81.8,True
LET-2025-00101,RFI,False,0.0,0,29.3,1,70.4,83.5,False,0.2,0.0,81.4,True
LET-2025-00102,Denial,True,433.6,5,32.7,1,67.8,80.0,False,0.6,0.6,76.6,False
LET-2025-00103,Status Update,True,123.1,0,16.9,1,68.8,83.0,False,0.3,0.8,83.2,True
LET-2025-00104,Denial,True,493.8,4,32.8,0,64.7,81.0,False,0.5,0.7,79.1,False
LET-2025-00105,Status Update,True,201.2,0,12.8,1,64.5,84.8,False,0.2,1.0,77.7,True
LET-2025-00106,Denial,True,448.1,2,21.0,1,75.8,84.0,False,0.2,0.8,85.9,False
LET-2025-00107,Approval,False,0.0,0,20.9,1,74.1,83.1,False,0.2,0.0,84.4,True
LET-2025-00108,Denial,True,425.3,5,34.1,1,66.0,81.8,False,0.5,0.6,76.9,False
LET-2025-00109,Approval,True,246.1,1,15.8,1,77.0,82.9,False,0.2,0.9,84.3,True
LET-2025-00110,Approval,True,284.2,0,18.5,1,64.2,83.4,False,0.4,0.8,82.5,True
LET-2025-00111,Denial,False,0.0,1,29.0,1,74.2,84.4,False,0.0,0.0,82.2,True
LET-2025-00112,RFI,True,473.5,1,25.4,1,67.1,81.7,False,0.5,0.6,83.4,True
LET-2025-00113,RFI,True,383.1,2,26.5,1,71.3,82.5,False,0.2,0.7,78.7,False
LET-2025-00114,RFI,True,285.2,2,24.8,1,66.4,81.4,False,0.4,0.6,80.9,False
LET-2025-00115,RFI,True,446.0,3,25.2,1,69.4,82.1,False,0.3,0.7,80.3,False
LET-2025-00116,Denial,True,518.6,2,28.8,1,67.9,81.0,False,0.5,0.7,76.9,False
LET-2025-00117,Denial,True,528.5,0,35.6,0,73.4,79.5,False,0.6,0.7,76.6,False
LET-2025-00118,Approval,True,280.5,2,22.2,0,56.3,79.7,False,0.6,0.7,81.0,False
LET-2025-00119,Denial,True,345.8,4,22.2,0,77.6,86.1,False,0.1,0.8,82.0,False
LET-2025-00120,Approval,True,300.7,3,23.2,0,65.7,80.5,False,0.6,0.7,81.2,False
LET-2025-00121,Denial,True,420.8,2,25.5,1,62.3,84.8,False,0.2,0.7,87.4,False
LET-2025-00122,Status Update,False,0.0,1,21.8,1,70.5,80.1,False,0.6,0.0,79.3,True
LET-2025-00123,Approval,True,333.4,1,17.9,1,72.0,81.7,False,0.3,0.7,78.0,True
LET-2025-00124,Approval,False,0.0,2,26.1,0,69.6,85.0,False,0.2,0.0,81.8,False
LET-2025-00125,Approval,False,0.0,1,27.0,1,59.6,79.3,False,0.5,0.0,78.7,True
LET-2025-00126,RFI,False,0.0,5,38.5,1,68.1,83.7,False,0.3,0.0,77.3,False
LET-2025-00127,RFI,True,277.6,0,23.4,1,61.6,84.0,False,0.2,0.7,83.2,True
LET-2025-00128,Denial,False,0.0,1,34.8,1,54.5,82.5,False,0.3,0.0,78.0,True
LET-2025-00129,RFI,True,353.9,0,22.4,1,65.6,83.5,False,0.2,0.8,85.3,True
LET-2025-00130,Status Update,True,219.4,3,21.3,1,73.4,77.0,False,0.8,0.5,74.4,False
LET-2025-00131,RFI,True,392.1,2,28.8,1,68.0,84.0,False,0.4,0.7,78.9,False
LET-2025-00132,RFI,True,308.0,1,23.6,1,72.7,85.6,False,0.1,0.7,80.1,True
LET-2025-00133,Denial,True,539.8,3,21.1,1,66.0,81.6,False,0.4,0.7,83.6,False
LET-2025-00134,Denial,True,343.4,1,34.3,1,67.6,82.5,False,0.4,0.6,78.1,True
LET-2025-00135,Approval,True,302.1,3,23.5,1,64.4,82.7,False,0.4,0.7,78.8,False
LET-2025-00136,RFI,True,371.9,2,23.2,1,75.4,83.9,False,0.2,0.6,83.3,False
LET-2025-00137,Denial,True,394.8,1,24.9,1,74.3,85.1,False,0.1,0.8,85.7,True
LET-2025-00138,Denial,False,0.0,6,45.3,1,74.8,83.5,False,0.4,0.0,78.7,False
LET-2025-00139,Approval,True,247.3,2,21.3,1,76.4,83.1,False,0.3,0.7,84.2,False
LET-2025-00140,Approval,False,0.0,3,25.9,1,67.2,82.1,False,0.3,0.0,81.1,False
LET-2025-00141,Status Update,False,0.0,2,15.7,1,70.2,82.7,False,0.2,0.0,79.6,False
LET-2025-00142,Approval,False,0.0,2,26.3,1,71.4,82.4,False,0.5,0.0,83.2,False
LET-2025-00143,RFI,False,0.0,5,47.1,1,68.8,78.5,False,0.7,0.0,71.3,False
LET-2025-00144,Status Update,True,220.8,0,10.5,1,59.9,83.7,False,0.3,0.7,83.0,True
LET-2025-00145,Approval,False,0.0,2,23.7,0,73.5,81.2,False,0.5,0.0,82.0,False
LET-2025-00146,Approval,True,307.9,2,15.1,1,71.7,81.8,False,0.5,0.6,81.8,False
LET-2025-00147,Denial,True,371.1,6,41.1,1,65.6,81.6,False,0.7,0.5,81.3,False
LET-2025-00148,Approval,True,347.1,1,30.4,1,70.2,77.1,False,0.9,0.6,74.6,True
LET-2025-00149,Status Update,True,220.7,1,14.4,1,56.4,84.1,False,0.4,0.8,85.5,True
LET-2025-00150,Approval,True,306.0,2,20.9,1,69.8,81.7,False,0.4,0.7,80.5,False
LET-2025-00151,Approval,True,310.5,1,14.5,1,61.7,83.6,False,0.2,0.6,84.9,True
LET-2025-00152,Approval,False,0.0,1,23.2,1,73.2,80.8,False,0.5,0.0,83.1,True
LET-2025-00153,Approval,True,257.3,0,18.1,1,67.1,84.6,False,0.1,0.6,83.9,True
LET-2025-00154,Denial,True,390.5,4,38.9,0,69.8,77.6,False,0.8,0.5,72.8,False
LET-2025-00155,Denial,False,0.0,4,50.7,1,68.9,79.1,False,0.8,0.0,78.2,False
LET-2025-00156,Approval,False,0.0,2,21.3,0,75.7,84.9,False,0.1,0.0,84.2,False
LET-2025-00157,RFI,True,365.7,3,28.7,1,71.7,85.3,False,0.2,0.9,81.8,False
LET-2025-00158,RFI,True,397.6,2,22.3,1,66.5,83.9,False,0.2,0.7,82.0,False
LET-2025-00159,Approval,False,0.0,1,25.4,1,75.3,83.5,False,0.2,0.0,81.0,True
LET-2025-00160,Denial,True,432.8,4,28.6,1,67.8,81.4,False,0.4,0.8,75.7,False
LET-2025-00161,Status Update,True,244.2,2,16.1,1,67.5,80.7,False,0.6,0.5,74.7,False
LET-2025-00162,Approval,True,319.4,1,16.5,1,74.3,84.3,False,0.2,0.6,83.2,True
LET-2025-00163,Approval,False,0.0,2,29.7,1,68.3,81.0,False,0.6,0.0,79.2,False
LET-2025-00164,Approval,False,0.0,2,17.3,1,68.7,85.9,False,0.1,0.0,82.8,False
LET-2025-00165,Denial,True,446.1,4,33.7,1,69.3,79.8,False,0.6,0.6,76.5,False
LET-2025-00166,RFI,False,0.0,5,35.9,1,68.1,84.1,False,0.2,0.0,82.5,False
LET-2025-00167,RFI,True,432.6,1,25.1,1,65.3,82.6,False,0.4,0.7,84.4,True
LET-2025-00168,RFI,True,420.5,2,31.6,0,62.0,79.3,False,0.6,0.8,72.6,False
LET-2025-00169,Approval,False,0.0,4,32.3,1,67.3,81.8,False,0.6,0.0,81.2,False
LET-2025-00170,Status Update,True,234.8,2,17.3,1,76.1,81.9,False,0.4,0.9,82.8,False
LET-2025-00171,Denial,False,0.0,0,35.9,0,55.9,84.5,False,0.3,0.0,85.9,False
LET-2025-00172,Approval,True,326.9,1,19.8,1,63.3,82.0,False,0.5,0.8,84.2,True
LET-2025-00173,Denial,True,521.4,3,38.6,1,68.6,81.4,False,0.6,0.6,78.0,False
LET-2025-00174,Approval,True,372.3,0,19.4,1,65.3,80.0,False,0.5,0.6,79.8,True
LET-2025-00175,Approval,True,366.3,0,25.1,1,63.8,81.0,False,0.6,0.7,78.5,True
LET-2025-00176,Approval,True,372.8,1,22.5,0,74.9,81.2,False,0.4,0.6,79.1,False
LET-2025-00177,Status Update,True,232.4,1,17.5,1,68.2,78.9,False,0.6,0.6,80.8,True
LET-2025-00178,Denial,True,422.5,3,30.1,1,82.2,82.0,False,0.4,0.8,79.9,False
LET-2025-00179,RFI,True,313.2,2,24.7,1,61.2,83.7,False,0.3,0.8,84.7,False
LET-2025-00180,Denial,True,376.7,0,34.4,1,62.8,78.8,False,0.8,0.7,75.0,True
LET-2025-00181,Approval,True,357.6,2,24.9,0,73.4,78.4,False,0.8,0.6,75.8,False
LET-2025-00182,Approval,True,362.4,1,14.7,0,73.9,82.8,False,0.3,0.7,83.7,False
LET-2025-00183,RFI,False,0.0,2,34.5,1,63.6,82.0,False,0.4,0.0,79.9,False
LET-2025-00184,Denial,False,0.0,3,33.6,1,64.3,84.6,False,0.2,0.0,80.6,False
LET-2025-00185,RFI,True,415.5,0,28.2,1,78.8,82.3,False,0.5,0.7,82.9,True
LET-2025-00186,Approval,False,0.0,0,31.2,1,67.0,80.5,False,0.6,0.0,79.8,True
LET-2025-00187,Approval,False,0.0,1,17.9,1,71.0,84.1,False,0.1,0.0,86.4,True
LET-2025-00188,Approval,True,267.0,1,18.3,1,67.0,84.0,False,0.2,0.7,84.0,True
LET-2025-00189,Approval,False,0.0,4,32.1,1,66.1,84.0,False,0.3,0.0,76.9,False
LET-2025-00190,Approval,False,0.0,3,24.3,1,65.9,85.8,False,0.1,0.0,84.6,False
LET-2025-00191,Denial,True,465.2,0,27.8,1,63.8,80.0,False,0.6,0.7,79.3,True
LET-2025-00192,Approval,False,0.0,1,24.0,0,62.8,83.2,False,0.3,0.0,80.3,False
LET-2025-00193,Denial,True,398.3,2,22.3,1,66.8,84.6,False,0.2,0.5,83.9,False
LET-2025-00194,Denial,True,598.7,3,37.9,1,76.7,80.0,False,0.6,0.6,76.7,False
LET-2025-00195,Approval,True,226.4,3,24.1,1,65.0,83.2,False,0.3,0.8,84.3,False
LET-2025-00196,Denial,False,0.0,3,36.3,1,71.7,81.2,False,0.4,0.0,78.3,False
LET-2025-00197,Approval,True,319.4,1,18.6,1,60.8,82.2,False,0.3,0.7,76.1,True
LET-2025-00198,Denial,False,0.0,3,38.1,1,71.3,82.7,False,0.3,0.0,77.9,False
LET-2025-00199,Status Update,True,203.8,0,12.7,1,69.6,82.0,False,0.2,0.6,82.2,True
LET-2025-00200,Approval,False,0.0,2,19.9,1,74.0,84.7,False,0.2,0.0,82.2,False
LET-2025-00201,Approval,True,299.8,0,7.2,1,72.0,86.1,False,0.1,0.9,86.2,True
LET-2025-00202,Denial,True,407.0,1,24.2,1,79.3,84.1,False,0.2,0.8,85.0,True
LET-2025-00203,Approval,True,238.3,0,13.7,1,69.8,84.4,False,0.2,0.8,84.1,True
LET-2025-00204,RFI,True,331.9,3,27.5,1,67.1,82.3,False,0.4,0.6,80.5,False
LET-2025-00205,Status Update,True,191.1,1,17.6,0,70.9,80.1,False,0.5,0.6,76.0,False
LET-2025-00206,Approval,False,0.0,2,29.0,1,63.6,79.6,False,0.6,0.0,79.5,False
LET-2025-00207,Approval,False,0.0,5,26.0,1,73.7,82.6,False,0.3,0.0,78.8,False
LET-2025-00208,Denial,False,0.0,3,37.1,1,65.0,84.4,False,0.2,0.0,78.4,False
LET-2025-00209,Denial,True,450.1,2,41.6,1,70.9,78.0,False,0.8,0.7,72.5,False
LET-2025-00210,Approval,True,273.6,0,17.6,1,63.9,80.6,False,0.4,0.5,78.0,True
LET-2025-00211,Approval,True,291.6,1,17.5,1,73.5,82.9,False,0.2,0.8,82.5,True
LET-2025-00212,RFI,False,0.0,1,29.2,1,76.7,83.5,False,0.2,0.0,81.2,True
LET-2025-00213,Approval,True,296.5,0,23.9,1,68.2,81.0,False,0.6,0.8,75.9,True
LET-2025-00214,Approval,False,0.0,1,20.0,1,75.7,84.7,False,0.1,0.0,83.3,True
LET-2025-00215,Approval,True,292.9,0,18.3,1,67.8,83.2,False,0.2,0.8,82.6,True
LET-2025-00216,Denial,True,459.8,6,44.0,0,66.1,74.6,False,0.9,0.6,67.0,False
LET-2025-00217,Denial,True,483.4,0,19.3,0,69.6,85.5,False,0.1,0.8,84.9,False
LET-2025-00218,Approval,True,271.9,0,8.9,1,75.4,84.6,False,0.1,0.7,86.5,True
LET-2025-00219,Status Update,False,0.0,0,16.4,1,64.8,83.4,False,0.2,0.0,84.8,True
LET-2025-00220,RFI,False,0.0,3,36.8,1,70.7,82.8,False,0.4,0.0,83.4,False
LET-2025-00221,Status Update,True,210.6,1,17.8,1,57.4,80.7,False,0.5,0.8,83.8,True
LET-2025-00222,RFI,True,394.9,1,30.3,0,69.4,78.2,False,0.6,0.7,79.5,False
LET-2025-00223,Approval,True,307.5,1,21.0,1,71.3,80.1,False,0.4,0.7,82.4,True
LET-2025-00224,Denial,True,418.2,6,35.7,1,66.4,79.8,False,0.7,0.8,74.6,False
LET-2025-00225,RFI,False,0.0,5,42.4,1,68.1,82.8,False,0.5,0.0,78.5,False
LET-2025-00226,RFI,True,330.2,3,24.8,1,77.4,81.5,False,0.2,0.5,79.5,False
LET-2025-00227,RFI,False,0.0,5,40.1,1,70.7,82.3,False,0.4,0.0,76.2,False
LET-2025-00228,Approval,True,263.4,0,15.6,1,61.3,82.9,False,0.3,0.6,83.0,True
LET-2025-00229,Approval,True,288.7,1,18.3,0,70.5,80.4,False,0.6,0.6,81.6,False
LET-2025-00230,Denial,True,525.7,3,25.6,1,77.1,84.2,False,0.3,0.9,83.8,False
LET-2025-00231,Denial,True,489.8,3,36.0,1,64.1,77.8,True,0.8,0.6,70.9,False
LET-2025-00232,RFI,False,0.0,0,30.5,1,63.4,83.1,False,0.3,0.0,83.9,True
LET-2025-00233,Approval,True,244.1,0,15.4,1,70.9,85.1,False,0.2,0.8,83.2,True
LET-2025-00234,Denial,False,0.0,6,50.6,1,63.4,79.6,False,0.7,0.0,76.9,False
LET-2025-00235,Denial,True,467.0,2,36.0,1,64.8,81.7,False,0.5,0.6,76.5,False
LET-2025-00236,Approval,True,263.6,3,21.7,1,70.6,81.2,True,0.5,0.7,74.2,False
LET-2025-00237,Approval,True,247.3,3,19.3,1,72.7,83.2,False,0.3,0.8,78.4,False
